"lakeid","year4","bin_midpoint","bandedkillifish","bgpumphybrid","bigmouthbuffalo","blackbullhead","blackchinshiner","blackcrappie","blacknoseshiner","blackstrptopminnow","bluegill","bluntnoseminnow","bowfin","brassyminnow","brooksilverside","brookstickleback","brownbullhead","burbot","channelcatfish","cisco","commoncarp","commonshiner","crappie","creekchub","darter","emeraldshiner","fantaildarter","fathead","finescaledace","freshwaterdrum","goldenredhorse","goldenshiner","grasspickerel","greaterredhorse","greenbghybrid","greenpumphybrid","greensunfish","guppy","hornyheadchub","iowadarter","johnnydarter","laketrout","lakewhitefish","largemouthbass","larvalfish","larvalsunfish","logperch","longearsunfish","longnosegar","mimicshiner","mottledsculpin","mudminnow","muskellunge","muskypikehybrid","ninespstickleback","northernhogsucker","northernpike","nredbellydace","propinquus","pumpkinseed","quillback","rainbowsmelt","rockbass","rosyfaceshiner","rusticus","shortheadredhors","shovelnosesturgeon","silverpike","silverredhorse","slimysculpin","smallmouthbass","smallmouthbuffalo","splake","spotfinshiner","spottailemeraldh","spottailshiner","sunfish","troutperch","unidchub","uniddarter","unidentified","unidminnow","unidredhorse","unidshiner","virilis","walleye","warmouth","whitebass","whitecrappie","whitesucker","yellowbass","yellowbullhead","yellowperch"
"AL",1981,22.5,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",1981,27.5,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",1981,32.5,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",1981,37.5,,,,,,3.2,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",1981,42.5,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",1981,47.5,,,,,,2.6,,,,2,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
"AL",1981,52.5,,,,,,,,,10.2,1,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5
"AL",1981,57.5,,,,,,,1,,10.2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3
"AL",1981,62.5,,,,,,,,,5.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
"AL",1981,67.5,,,,,,,,,13.2,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
