lakeid,year4,sampledate,mid_sample_time,mid_latitude,mid_longitude,sv_mean,nasc,mean_height,mean_depth,number_pings,species,species_ts,density
ME,2009,8/24/09,2225,43.101697,-89.453949,-71.948156,46.803499,17.01,10.73,14972,YELLOWPERCH,-38.7,293.629243
ME,2009,8/24/09,2225,43.101697,-89.453949,-71.948156,46.803499,17.01,10.73,14972,WHITEBASS,-35.7,10736.61711
ME,2009,8/24/09,2225,43.101697,-89.453949,-71.948156,46.803499,17.01,10.73,14972,FRESHWATERDRUM,-36.1,293.629243
ME,2009,8/24/09,2225,43.101697,-89.453949,-71.948156,46.803499,17.01,10.73,14972,CISCO,-33,1442.613238
SP,2009,8/19/09,2054,,,-57.88865,902.8832,12.88,8.52,4941,RAINBOWSMELT,-47,3600988.28
CR,2009,8/20/09,32,,,-58.4579,872.572441,14.19,8.32,4309,RAINBOWSMELT,-43,1385452.46
TR,2009,8/19/09,2313,46.038444,-89.666252,-63.487031,483.105353,25.02,14.86,10811,CISCO,-38.4,111040.6595
TR,2009,8/19/09,2313,46.038444,-89.666252,-63.487031,483.105353,25.02,14.86,10811,LAKETROUT,-30.8,21171.75241
TR,2009,8/19/09,2313,46.038444,-89.666252,-63.487031,483.105353,25.02,14.86,10811,WALLEYE,-35.2,15841.80076
CR,2002,9/21/02,2232,46.002667,-89.614,-59.351595,675.120326,13.49,7.97,4019,RAINBOWSMELT,-44.7,1585519
CR,2001,8/27/01,2143,46.002143,-89.614572,-57.837222,1027.087369,14.48,8.4,2243,RAINBOWSMELT,-44.33,2215121
CR,2003,7/24/03,2216,46.001608,-89.61465,-63.442897,265.1479,13.59,7.91,6984,RAINBOWSMELT,-43.92,520329
SP,2002,8/25/02,2026,46.00625,-89.70113,-58.937665,745.986136,13.55,8.51,3953,RAINBOWSMELT,-45.45,2082193
SP,2001,8/26/01,2043,46.004384,-89.69859,-56.699055,1344.214035,14.58,8.31,4239,RAINBOWSMELT,-45.87,4132935
SP,2003,7/22/03,2358,46.006922,-89.698372,-58.563373,650.67268,10.84,7.2,4188,RAINBOWSMELT,-45.4,1795365
TR,2001,8/27/01,2026,46.035835,-89.655565,-58.84319,1389.872981,24.71,13.89,4349,CISCO,-40.7,1299467
SP,2004,7/28/04,632,46.006917,-89.699027,-58.394959,838.196763,13.44,8.09,1381,RAINBOWSMELT,-43.6,1528044.899
TR,2002,9/21/02,2114,46.039667,-89.6595,-59.189493,1392.705415,26.81,14.96,5725,CISCO,-40.54,1255016
TR,2004,7/26/04,2112,999,999,-59.146724,1260.748925,24.03,13.6,14157,CISCO,-44.7,2960866
TR,2003,7/25/03,2512,46.034849,-89.659867,-59.467378,1243.607389,25.52,14.62,7649,CISCO,-41.6,1430452
CR,2005,7/25/05,2124,46.002445,-89.613849,-62.441321,332.245804,13.52,8.04,4541,RAINBOWSMELT,,982312
SP,2005,7/25/05,2304,46.006056,-89.697617,-61.954367,358.063467,13.03,7.71,7612,RAINBOWSMELT,-44.1,732403
TR,2005,7/26/05,35,46.032612,-89.671884,-57.220097,1621.497336,19.84,14.4,13039,CISCO,-42.5,2100466
ME,2005,8/15/05,2142,,,-68.255463,51.200281,7.95,5.01,,WALLEYE,-35,243
ME,2005,8/15/05,2142,,,-68.255463,51.200281,7.95,5.01,,WHITEBASS,-41,3387
ME,2005,8/15/05,2142,,,-68.255463,51.200281,7.95,5.01,,CISCO,-35,2661
ME,2005,8/15/05,2142,,,-68.255463,51.200281,7.95,5.01,,FRESHWATERDRUM,-36,10888
ME,2005,8/15/05,2142,,,-68.255463,51.200281,7.95,5.01,,YELLOWPERCH,-39,1210
CR,2006,8/4/06,2213,46.001885,-89.614053,-59.064789,800.543754,14.98,8.59,5239,RAINBOWSMELT,-46.3,2717535.395
SP,2006,8/4/06,2345,46.006408,-89.699782,-60.132845,572.427221,13.69,7.93,4903,RAINBOWSMELT,-48.3,3079714.189
TR,2006,8/5/06,101,46.037715,-89.661708,-59.123665,1308.508083,24.81,13.98,10354,CISCO,-43.4,2278067.277
ME,2006,8/7/06,2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862,BLUEGILL,-39.3,789.678812
ME,2006,8/7/06,2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862,CISCO,-33,536.981592
ME,2006,8/7/06,2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862,FRESHWATERDRUM,-34,1042.376032
ME,2006,8/7/06,2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862,LONGNOSEGAR,-26,252.69722
ME,2006,8/7/06,2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862,WHITEBASS,-37,2906.018028
ME,2006,8/7/06,2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862,YELLOWPERCH,-38.5,26059.4008
TR,2007,7/30/07,2319,46.035382,-89.657564,-60.928606,875.690014,25.16,14.06,10661,CISCO,-40.39,310843.389
TR,2007,7/30/07,2319,46.035382,-89.657564,-60.928606,875.690014,25.16,14.06,10661,LAKEWHITEFISH,-34.1,14802.06614
TR,2007,7/30/07,2319,46.035382,-89.657564,-60.928606,875.690014,25.16,14.06,10661,WALLEYE,-33.9,25903.61575
TR,2007,7/30/07,2319,46.035382,-89.657564,-60.928606,875.690014,25.16,14.06,10661,LAKETROUT,-28.7,18502.58268
SP,2007,7/31/07,2351,46.006812,-89.698186,-58.256462,851.684133,13.23,7.93,5512,RAINBOWSMELT,-45.78,2564889.692
CR,2007,7/31/07,2213,46.016863,-89.668607,-56.826168,1276.086534,14.26,8.35,6734,RAINBOWSMELT,-42.84,1952856.186
ME,2007,8/10/07,2131,43.101339,-89.455936,-70.327968,68.62088,17.17,9.81,21374,CISCO,-34.5,463.203556
ME,2007,8/11/07,2131,43.101339,-89.455936,-70.327968,68.62088,17.17,9.81,21374,YELLOWPERCH,-38.7,24582.87445
ME,2007,8/12/07,2131,43.101339,-89.455936,-70.327968,68.62088,17.17,9.81,21374,WHITEBASS,-36.5,4929.809277
ME,2007,8/13/07,2131,43.101339,-89.455936,-70.327968,68.62088,17.17,9.81,21374,FRESHWATERDRUM,-35.5,3110.081021
CR,2008,7/30/08,2254,46.0008,-89.614252,-64.171131,216.002065,13.09,7.92,7437,RAINBOWSMELT,-42.1,255481.6043
CR,2008,7/30/08,2254,46.0008,-89.614252,-64.171131,216.002065,13.09,7.92,7437,YELLOWPERCH,-35.6,5213.910291
SP,2008,7/31/08,42,46.006336,-89.700327,-60.63119,466.601591,12.52,7.56,4833,RAINBOWSMELT,-43.1,1570.15208
SP,2008,7/31/08,42,46.006336,-89.700327,-60.63119,466.601591,12.52,7.56,4833,WALLEYE,-31.9,48.561405
TR,2008,7/31/08,238,46.031617,-89.66705,-63.194148,492.764612,23.85,13.7,17502,CISCO,-39.4,148105.3517
TR,2008,7/31/08,238,46.031617,-89.66705,-63.194148,492.764612,23.85,13.7,17502,LAKETROUT,-29.4,10473.95167
TR,2008,7/31/08,238,46.031617,-89.66705,-63.194148,492.764612,23.85,13.7,17502,WALLEYE,-34.1,11208.96582
TR,2008,7/31/08,238,46.031617,-89.66705,-63.194148,492.764612,23.85,13.7,17502,LAKEWHITEFISH,-33.8,13965.26889
ME,2008,8/14/08,2329,43.102068,-89.439664,-70.079749,72.872658,17.22,10.63,22591,CISCO,-33.2,4186.38511
ME,2008,8/14/08,2329,43.102068,-89.439664,-70.079749,72.872658,17.22,10.63,22591,FRESHWATERDRUM,-35.6,2685.727063
ME,2008,8/14/08,2329,43.102068,-89.439664,-70.079749,72.872658,17.22,10.63,22591,YELLOWPERCH,-38.5,12665.42511
ME,2008,8/14/08,2329,43.102068,-89.439664,-70.079749,72.872658,17.22,10.63,22591,WHITEBASS,-40,12665.42511
SP,2010,8/12/10,327,46.0063,-89.699708,-63.499584,244.818279,12.71,8.7,2515,RAINBOWSMELT,-45.5,691248.1403
CR,2010,8/25/10,2038,46.00166,-89.615425,-58.589027,819.66369,13.74,8.18,6521,RAINBOWSMELT,-42.4,1047755.193
CR,2010,8/25/10,2038,46.00166,-89.615425,-58.589027,819.66369,13.74,8.18,6521,YELLOWPERCH,-40.2,51673.13124
TR,2010,8/12/10,236,46.033775,-89.663405,-61.773034,696.626327,24.31,14.97,5420,LAKEWHITEFISH,-33.2,12797.46241
TR,2010,8/12/10,236,46.033775,-89.663405,-61.773034,696.626327,24.31,14.97,5420,CISCO,-38.5,197515.5518
TR,2010,8/12/10,236,46.033775,-89.663405,-61.773034,696.626327,24.31,14.97,5420,LAKETROUT,-30.2,16419.38573
TR,2010,8/12/10,236,46.033775,-89.663405,-61.773034,696.626327,24.31,14.97,5420,WALLEYE,-34.1,14729.15484
ME,2010,8/23/10,2051,43.114958,-89.43414,-66.30207,163.638283,16.2,10.57,18957,CISCO,-37.7,11888.42036
ME,2010,8/23/10,2051,43.114958,-89.43414,-66.30207,163.638283,16.2,10.57,18957,WHITEBASS,-37.4,51749.5945
ME,2010,8/23/10,2051,43.114958,-89.43414,-66.30207,163.638283,16.2,10.57,18957,YELLOWPERCH,-37.1,3146.934801
ME,2010,8/23/10,2051,43.114958,-89.43414,-66.30207,163.638283,16.2,10.57,18957,FRESHWATERDRUM,-35.1,3146.934801
CR,2011,7/28/11,2134,46.001318,-89.615495,-56.584294,1263.095015,13.35,7.89,6244,RAINBOWSMELT,-45.99,3387674.768
CR,2011,7/28/11,2134,46.001318,-89.615495,-56.584294,1263.095015,13.35,7.89,6244,YELLOWPERCH,-40.5,170807.1311
ME,2011,8/28/11,2022,43.095391,-89.408208,-66.433865,158.993663,16.23,10.17,39838,WHITEBASS,55,50550.44867
ME,2011,8/28/11,2022,43.095391,-89.408208,-66.433865,158.993663,16.23,10.17,39838,YELLOWPERCH,45,41359.458
SP,2011,8/25/11,2334,46.006419,-89.701194,-59.508494,618.716749,12.82,7.98,4681,RAINBOWSMELT,-47,2467641.178
