year,spr.oys.trend,spr.pdo,spr.upw,win.oys.trend,win.pdo,win.upw,period,alt.period
1955,2.766083686,-2.148,66,NA,NA,NA,1,1
1956,1.955573981,-1.302,47,2.468898634,-2.425714286,-37.71428571,1,1
1957,0.95375019,0.814,30.2,1.810880648,-1.341428571,-18.28571429,1,1
1958,-0.249781895,1.142,56.2,0.821184121,0.914285714,-82.71428571,1,1
1959,-0.291380452,-0.09,51.6,-0.463004088,0.545714286,-34.71428571,1,1
1960,-0.390400299,0.168,35.4,-1.254013688,0.717142857,-34.42857143,1,1
1961,-0.922024643,-0.668,29.6,-1.253931022,0.54,-97.14285714,1,1
1962,0.078505051,-1.404,42,-1.326743179,-1.22,-20.71428571,1,1
1963,-0.62082617,-0.594,29.6,-1.149138257,-0.394285714,-50.14285714,1,1
1964,0.691075989,-1.286,40,-1.666276507,-0.094285714,-36.28571429,1,1
1965,0.935217337,-0.052,81.8,-0.428993741,-0.55,-34.42857143,1,1
1966,0.538716031,-0.112,63.4,0.12677944,-0.058571429,-50.71428571,1,1
1967,0.833314142,-1.358,93,0.52533976,-0.467142857,-44.57142857,1,1
1968,1.171639414,0.036,47,0.012616252,-0.387142857,-53.28571429,1,1
1969,1.054722693,-0.16,46.4,0.356422407,-0.217142857,-59.42857143,1,1
1970,1.315732922,-0.822,46.8,0.080486087,1.151428571,-52.42857143,1,1
1971,0.442333768,-0.994,35.2,0.581148348,-1.178571429,-38,1,1
1972,0.063907784,-0.838,43.2,-0.998477571,-1.29,-30.57142857,1,1
1973,0.226414049,-0.752,46.8,-0.289965904,-0.078571429,-30,1,1
1974,-0.463738677,-0.018,46,-1.010971054,-0.94,-42.85714286,1,1
1975,1.063024769,-1.14,54,-0.350118986,-0.355714286,-27.28571429,1,1
1976,0.652063214,0.254,26.2,0.548612496,-1.194285714,-36,1,1
1977,0.17633547,0.142,40.2,0.577774401,1.257142857,-31.14285714,1,1
1978,-0.891374341,-0.108,32.4,-0.198774054,0.624285714,-58.42857143,1,2
