"lakeid","year4","sta","depth","taxon","nreps","avg_ind","stdev_ind","avg_ind_per_m2","stdev_ind_per_m2","avg_ind_per_m3","stdev_ind_per_m3"
"AL",1983,1,8,"CHAOBORUS LARVAE",5,763,186.84,971.48,237.89,121.44,29.74
"AL",1983,1,8,"LEPTODORA",5,35.4,13.08,45.07,16.65,5.63,2.08
"AL",1983,1,8,"MYSIS",5,0,0,0,0,0,0
"BM",1983,1,19.2,"CHAOBORUS LARVAE",5,10,4.43,12.73,5.64,0.66,0.29
"BM",1983,1,19.2,"LEPTODORA",5,3.8,3.97,4.84,5.05,0.25,0.26
"BM",1983,1,19.2,"MYSIS",5,0,0,0,0,0,0
"CB",1983,1,2.5,"CHAOBORUS LARVAE",5,108,29.18,137.51,37.15,55,14.86
"CB",1983,1,2.5,"LEPTODORA",5,0,0,0,0,0,0
"CB",1983,1,2.5,"MYSIS",5,0,0,0,0,0,0
"CR",1983,1,19.9,"CHAOBORUS LARVAE",5,3,0.63,3.82,0.81,0.19,0.04
"CR",1983,1,19.9,"LEPTODORA",5,227.4,38.69,289.53,49.26,14.55,2.48
"CR",1983,1,19.9,"MYSIS",5,0,0,0,0,0,0
"SP",1983,1,19.9,"CHAOBORUS LARVAE",5,2.4,1.62,3.06,2.07,0.15,0.1
"SP",1983,1,19.9,"LEPTODORA",5,0.6,0.8,0.76,1.02,0.04,0.05
"SP",1983,1,19.9,"MYSIS",5,0,0,0,0,0,0
"TB",1983,1,6.5,"CHAOBORUS LARVAE",5,59.8,29.38,76.14,37.41,11.71,5.76
"TB",1983,1,6.5,"LEPTODORA",5,0,0,0,0,0,0
"TB",1983,1,6.5,"MYSIS",5,0,0,0,0,0,0
"TR",1983,4,11.2,"CHAOBORUS LARVAE",3,65,10.23,82.76,13.03,7.39,1.16
"TR",1983,4,11.2,"LEPTODORA",3,160.33,61.16,204.14,77.87,18.23,6.95
"TR",1983,4,11.2,"MYSIS",3,4,0.82,5.09,1.04,0.45,0.09
"TR",1983,5,16.5,"CHAOBORUS LARVAE",3,21.33,3.86,27.16,4.91,1.65,0.3
"TR",1983,5,16.5,"LEPTODORA",3,78,21.28,99.31,27.09,6.02,1.64
"TR",1983,5,16.5,"MYSIS",3,49.33,18.37,62.81,23.39,3.81,1.42
"TR",1983,6,21.5,"CHAOBORUS LARVAE",5,20.6,6.22,26.23,7.91,1.22,0.37
"TR",1983,6,21.5,"LEPTODORA",5,100,36.85,127.32,46.92,5.92,2.18
"TR",1983,6,21.5,"MYSIS",5,43.4,13.84,55.26,17.62,2.57,0.82
"TR",1983,7,25.7,"CHAOBORUS LARVAE",2,23.5,1.5,29.92,1.91,1.16,0.07
"TR",1983,7,25.7,"LEPTODORA",2,85,14,108.23,17.83,4.21,0.69
"TR",1983,7,25.7,"MYSIS",2,47.5,4.5,60.48,5.73,2.35,0.22
"TR",1983,2,31.6,"CHAOBORUS LARVAE",3,4.67,2.36,5.94,3,0.19,0.09
"TR",1983,2,31.6,"LEPTODORA",3,116.33,56.83,148.12,72.36,4.69,2.29
"TR",1983,2,31.6,"MYSIS",3,1.67,1.25,2.12,1.59,0.07,0.05
"AL",1984,1,7,"CHAOBORUS LARVAE",5,177.2,60.31,225.62,76.79,32.23,10.97
"AL",1984,1,7,"LEPTODORA",5,32.2,11.3,41,14.39,5.86,2.06
"AL",1984,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1984,1,18,"CHAOBORUS LARVAE",5,60.2,21.14,76.65,26.92,4.26,1.5
"BM",1984,1,18,"LEPTODORA",5,0.6,0.8,0.76,1.02,0.04,0.06
"BM",1984,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",1984,1,1.5,"CHAOBORUS LARVAE",5,66,24.27,84.03,30.91,56.02,20.6
"CB",1984,1,1.5,"LEPTODORA",5,17.6,22.7,22.41,28.91,14.94,19.27
"CB",1984,1,1.5,"MYSIS",5,0,0,0,0,0,0
"CR",1984,1,18,"CHAOBORUS LARVAE",5,12.2,6.27,15.53,7.99,0.86,0.44
"CR",1984,1,18,"LEPTODORA",5,720,164.8,916.73,209.84,50.93,11.66
"CR",1984,1,18,"MYSIS",5,0,0,0,0,0,0
"SP",1984,1,18.5,"CHAOBORUS LARVAE",4,20.25,3.19,25.78,4.06,1.39,0.22
"SP",1984,1,18.5,"LEPTODORA",4,298.25,55.87,379.74,71.14,20.53,3.85
"SP",1984,1,18.5,"MYSIS",4,0,0,0,0,0,0
"TB",1984,1,7.5,"CHAOBORUS LARVAE",5,74.2,21.68,94.47,27.61,12.6,3.68
"TB",1984,1,7.5,"LEPTODORA",5,0.4,0.49,0.51,0.62,0.07,0.08
"TB",1984,1,7.5,"MYSIS",5,0,0,0,0,0,0
"TR",1984,4,10,"CHAOBORUS LARVAE",5,47.8,18.48,60.86,23.52,6.09,2.35
"TR",1984,4,10,"LEPTODORA",5,110.2,70.94,140.31,90.32,14.03,9.03
"TR",1984,4,10,"MYSIS",5,0,0,0,0,0,0
"TR",1984,5,15,"CHAOBORUS LARVAE",1,142,0,180.8,0,12.05,0
"TR",1984,5,15,"LEPTODORA",1,118,0,150.24,0,10.02,0
"TR",1984,5,15,"MYSIS",1,0,0,0,0,0,0
"TR",1984,8,18,"CHAOBORUS LARVAE",3,19,11.31,24.19,14.41,1.34,0.8
"TR",1984,8,18,"LEPTODORA",3,108.67,14.82,138.36,18.87,7.69,1.05
"TR",1984,8,18,"MYSIS",3,39.33,14.08,50.08,17.93,2.78,1
"TR",1984,6,20,"CHAOBORUS LARVAE",1,27,0,34.38,0,1.72,0
"TR",1984,6,20,"LEPTODORA",1,122,0,155.34,0,7.77,0
"TR",1984,6,20,"MYSIS",1,36,0,45.84,0,2.29,0
"TR",1984,7,25,"CHAOBORUS LARVAE",4,24.75,7.5,31.51,9.54,1.26,0.38
"TR",1984,7,25,"LEPTODORA",4,140.25,15.51,178.57,19.75,7.14,0.79
"TR",1984,7,25,"MYSIS",4,30,4.85,38.2,6.17,1.53,0.25
"TR",1984,2,30,"CHAOBORUS LARVAE",3,37.33,16.05,47.53,20.43,1.58,0.68
"TR",1984,2,30,"LEPTODORA",3,54.67,28.77,69.6,36.63,2.32,1.22
"TR",1984,2,30,"MYSIS",3,5.33,3.68,6.79,4.69,0.23,0.16
"AL",1985,1,7,"CHAOBORUS LARVAE",5,718.4,156.87,914.7,199.74,130.67,28.53
"AL",1985,1,7,"LEPTODORA",5,391.4,132.49,498.35,168.69,71.19,24.1
