lakeid,year4,gearid,spname,effort,total_caught
AL,1981,BSEINE,BLACKCRAPPIE,11,43
AL,1981,BSEINE,BLACKNOSESHINER,11,2
AL,1981,BSEINE,BLUEGILL,11,52
AL,1981,BSEINE,BLUNTNOSEMINNOW,11,44
AL,1981,BSEINE,COMMONSHINER,11,16
AL,1981,BSEINE,GOLDENSHINER,11,74
AL,1981,BSEINE,JOHNNYDARTER,11,6
AL,1981,BSEINE,LARGEMOUTHBASS,11,27
AL,1981,BSEINE,LOGPERCH,11,7
AL,1981,BSEINE,MIMICSHINER,11,5
AL,1981,BSEINE,MOTTLEDSCULPIN,11,2
AL,1981,BSEINE,MUSKELLUNGE,11,1
AL,1981,BSEINE,NORTHERNPIKE,11,1
AL,1981,BSEINE,PUMPKINSEED,11,6
AL,1981,BSEINE,ROCKBASS,11,7
AL,1981,BSEINE,SMALLMOUTHBASS,11,1
AL,1981,BSEINE,WHITESUCKER,11,5
AL,1981,BSEINE,YELLOWPERCH,11,256
AL,1981,CRAYTR,BLUEGILL,19,6
AL,1981,ELFISH,BLACKCRAPPIE,2,19
AL,1981,ELFISH,BLUEGILL,2,17
AL,1981,ELFISH,LARGEMOUTHBASS,2,3
AL,1981,ELFISH,MUDMINNOW,2,1
AL,1981,ELFISH,MUSKELLUNGE,2,1
AL,1981,ELFISH,NORTHERNPIKE,2,1
AL,1981,ELFISH,PUMPKINSEED,2,3
AL,1981,ELFISH,WALLEYE,2,5
AL,1981,ELFISH,WHITESUCKER,2,11
AL,1981,ELFISH,YELLOWPERCH,2,55
AL,1981,FYKNET,BLACKCRAPPIE,4,5
AL,1981,FYKNET,BLACKNOSESHINER,4,1
AL,1981,FYKNET,BLUEGILL,4,37
AL,1981,FYKNET,BLUNTNOSEMINNOW,4,2
AL,1981,FYKNET,GOLDENSHINER,4,32
AL,1981,FYKNET,IOWADARTER,4,1
AL,1981,FYKNET,MOTTLEDSCULPIN,4,1
AL,1981,FYKNET,NORTHERNPIKE,4,1
AL,1981,FYKNET,PUMPKINSEED,4,7
AL,1981,FYKNET,ROCKBASS,4,1
AL,1981,FYKNET,YELLOWPERCH,4,254
AL,1981,MINNOW,BLUEGILL,20,12
AL,1981,MINNOW,LARGEMOUTHBASS,20,1
AL,1981,MINNOW,ROCKBASS,20,1
AL,1981,MINNOW,YELLOWPERCH,20,3
AL,1981,TRAMML,BLACKCRAPPIE,2,2
AL,1981,TRAMML,NORTHERNPIKE,2,7
AL,1981,TRAMML,WHITESUCKER,2,8
AL,1981,TRAMML,YELLOWPERCH,2,1
AL,1981,VGN019,GOLDENSHINER,2,1
AL,1981,VGN019,LARGEMOUTHBASS,2,1
AL,1981,VGN019,YELLOWPERCH,2,15
AL,1981,VGN032,YELLOWPERCH,2,5
AL,1981,VGN038,BLACKCRAPPIE,2,3
AL,1981,VGN051,BLACKCRAPPIE,2,1
AL,1981,VGN089,MUSKELLUNGE,2,1
AL,1982,BSEINE,BLACKCHINSHINER,18,1
AL,1982,BSEINE,BLACKCRAPPIE,18,9
AL,1982,BSEINE,BLACKNOSESHINER,18,1
AL,1982,BSEINE,BLUEGILL,18,10
AL,1982,BSEINE,BLUNTNOSEMINNOW,18,9
AL,1982,BSEINE,COMMONSHINER,18,20
AL,1982,BSEINE,GOLDENSHINER,18,15
AL,1982,BSEINE,IOWADARTER,18,1
AL,1982,BSEINE,JOHNNYDARTER,18,31
AL,1982,BSEINE,LARGEMOUTHBASS,18,7
AL,1982,BSEINE,LOGPERCH,18,15
AL,1982,BSEINE,MIMICSHINER,18,1
AL,1982,BSEINE,NORTHERNPIKE,18,2
AL,1982,BSEINE,ROCKBASS,18,9
AL,1982,BSEINE,UNIDSUNFISH,18,1
AL,1982,BSEINE,WHITESUCKER,18,1
AL,1982,BSEINE,YELLOWPERCH,18,37
AL,1982,ELFISH,BLACKCRAPPIE,4,4
AL,1982,ELFISH,COMMONSHINER,4,1
AL,1982,ELFISH,GOLDENSHINER,4,1
AL,1982,ELFISH,LARGEMOUTHBASS,4,3
AL,1982,ELFISH,MUSKELLUNGE,4,2
AL,1982,ELFISH,NORTHERNPIKE,4,2
AL,1982,ELFISH,PUMPKINSEED,4,2
AL,1982,ELFISH,ROCKBASS,4,6
AL,1982,ELFISH,WALLEYE,4,4
AL,1982,ELFISH,WHITESUCKER,4,19
AL,1982,ELFISH,YELLOWBULLHEAD,4,1
AL,1982,ELFISH,YELLOWPERCH,4,8
AL,1982,FYKNET,BLACKCRAPPIE,6,1
AL,1982,FYKNET,BLUEGILL,6,21
AL,1982,FYKNET,BLUNTNOSEMINNOW,6,7
AL,1982,FYKNET,LARGEMOUTHBASS,6,25
AL,1982,FYKNET,LOGPERCH,6,1
AL,1982,FYKNET,NORTHERNPIKE,6,1
AL,1982,FYKNET,ROCKBASS,6,4
AL,1982,FYKNET,WHITESUCKER,6,1
AL,1982,FYKNET,YELLOWPERCH,6,8
AL,1982,TRAMML,BLACKCRAPPIE,2,6
AL,1982,TRAMML,BLUEGILL,2,3
AL,1982,TRAMML,PUMPKINSEED,2,1
AL,1982,TRAMML,WALLEYE,2,1
AL,1982,TRAMML,WHITESUCKER,2,8
AL,1982,VGN019,LARGEMOUTHBASS,2,6
AL,1982,VGN019,YELLOWPERCH,2,22
AL,1982,VGN025,YELLOWPERCH,2,50
AL,1982,VGN032,BLACKCRAPPIE,2,1
AL,1982,VGN032,COMMONSHINER,2,1
AL,1982,VGN032,YELLOWPERCH,2,8
AL,1982,VGN038,BLACKCRAPPIE,2,3
AL,1982,VGN038,YELLOWPERCH,2,5
AL,1983,BSEINE,BLACKCHINSHINER,15,3
AL,1983,BSEINE,BLACKCRAPPIE,15,42
AL,1983,BSEINE,BLUEGILL,15,102
AL,1983,BSEINE,BLUNTNOSEMINNOW,15,10
AL,1983,BSEINE,COMMONSHINER,15,4
AL,1983,BSEINE,GOLDENSHINER,15,47
AL,1983,BSEINE,IOWADARTER,15,1
AL,1983,BSEINE,LARGEMOUTHBASS,15,2
AL,1983,BSEINE,LOGPERCH,15,2
AL,1983,BSEINE,PUMPKINSEED,15,9
