,species_name,Group,Type
1,COPEPOD NAUPLII,Copepos Nauplii,Small
2,ACANTHOCYCLOPS VERNALIS,Cyclopoid,Small
3,DIACYCLOPS THOMASI,Cyclopoid,Small
4,BOSMINIDAE,Cladoceran,Small
5,CONOCHILUS,Rotifer,Small
6,FILINIA TERMINALIS,Rotifer,Small
7,KELLICOTTIA LONGISPINA,Rotifer,Small
8,KERATELLA COCHLEARIS,Rotifer,Small
9,LECANE CLARA,Rotifer,Small
10,NOTHOLCA,Rotifer,Small
11,POLYARTHRA MAJOR,Rotifer,Small
12,DAPHNIA RETROCURVA,Daphnia,Large
13,DIAPHANOSOMA,Cladoceran,Small
14,HOLOPEDIUM,Cladoceran,Small
15,ASCOMORPHA,Rotifer,Small
16,GASTROPUS,Rotifer,Small
17,KERATELLA CRASSA,Rotifer,Small
18,KERATELLA QUADRATA,Rotifer,Small
19,POLYARTHRA DOLICHOPTERA,Rotifer,Small
20,POLYARTHRA VULGARIS,Rotifer,Small
21,TRICHOCERCA,Rotifer,Small
22,LEPTODIAPTOMUS MINUTUS,Calanoid,Large
23,CYCLOPOID,Cyclopoid,Small
24,CALANOID,Calanoid,Large
25,CLADOCERAN,Cladoceran,Small
26,CERIODAPHNIA LACUSTRIS,Cladoceran,Small
27,CHYDORUS,Cladoceran,Small
28,DAPHNIA,Daphnia,Large
29,DAPHNIA DUBIA,Daphnia,Large
30,DAPHNIA MENDOTAE,Daphnia,Large
31,POLYPHEMUS,Cladoceran,Small
32,ASPLANCHNA,Rotifer,Small
33,BRACHIONUS,Rotifer,Small
34,COLURELLA,Rotifer,Small
35,FILINIA,Rotifer,Small
36,KELLICOTTIA,Rotifer,Small
37,KERATELLA,Rotifer,Small
38,KERATELLA HIEMALIS,Rotifer,Small
39,KERATELLA TAUROCEPHALA,Rotifer,Small
40,LECANE,Rotifer,Small
41,LEPADELLA,Rotifer,Small
42,MONOSTYLA,Rotifer,Small
43,NOTOMMATA,Rotifer,Small
44,POLYARTHRA,Rotifer,Small
45,SYNCHAETA,Rotifer,Small
46,TRICHOCERCA ROUSSELETI,Rotifer,Small
48,DIACYCLOPS,Cyclopoid,Small
49,CONOCHILUS UNICORNIS,Rotifer,Small
50,DIAPHANOSOMA BIRGEI,Cladoceran,Small
51,MESOCYCLOPS EDAX,Cyclopoid,Small
52,POMPHOLYX,Rotifer,Small
53,EPISCHURA LACUSTRIS,Calanoid,Large
54,DAPHNIA LONGIREMIS,Daphnia,Large
55,HOLOPEDIUM GIBBERUM,Cladoceran,Small
56,GASTROPUS STYLIFER,Rotifer,Small
57,KERATELLA EARLINAE,Rotifer,Small
58,NOTHOLCA MICHIGANENSIS,Rotifer,Small
59,TROPOCYCLOPS PRASINUS MEXICANUS,Cyclopoid,Small
60,LEPTODIAPTOMUS SICILIS,Calanoid,Large
61,DAPHNIA PULICARIA,Daphnia,Large
62,POLYPHEMUS PEDICULUS,Cladoceran,Small
63,POLYARTHRA REMATA,Rotifer,Small
64,CERIODAPHNIA,Cladoceran,Small
65,DIAPTOMID,Calanoid,Large
66,KERATELLA TESTUDO,Rotifer,Small
68,TRICHOCERCA CYLINDRICA,Rotifer,Small
69,SKISTODIAPTOMUS OREGONENSIS,Rotifer,Small
70,COLLOTHECA,Rotifer,Small
71,PLOESOMA,Rotifer,Small
72,SKISTODIAPTOMUS ,Calanoid,Large
73,SKISTODIAPTOMUS PALLIDUS,Calanoid,Large
74,KELLICOTTIA BOSTONIENSIS,Rotifer,Small
75,ASCOMORPHA OVALIS,Rotifer,Small
76,MONOSTYLA LUNARIS,Rotifer,Small
77,LECANE INERMIS,Rotifer,Small
78,GASTROPUS HYPTOPUS,Rotifer,Small
79,NOTHOLCA ACUMINATA,Rotifer,Small
80,NOTHOLCA SQUAMULA,Rotifer,Small
81,UNKNOWN ROTIFER,Rotifer,Small
82,ASCOMORPHA ECAUDIS,Rotifer,Small
83,KERATELLA COCHLEARIS F. TECTA,Rotifer,Small
84,TRICHOCERCA MULTICRINIS,Rotifer,Small
85,LEPTODORA KINDTII,Daphnia,Large
86,CEPHALODELLA,Rotifer,Small
87,TRICHOCERCA PORCELLUS,Rotifer,Small
88,KERATELLA SERRULATA,Rotifer,Small
89,LECANE TENUISETA,Rotifer,Small
90,NOTHOLCA FOLIACEA,Rotifer,Small
91,LEPADELLA PATELLA,Rotifer,Small
92,TRICHOCERCA BIROSTRIS,Rotifer,Small
93,CONOCHILOIDES,Rotifer,Small
94,COLLOTHECA MUTABILIS,Rotifer,Small
95,DAPHNIA PARVULA,Daphnia,Large
96,KERATELLA TICINENSIS,Rotifer,Small
97,TRICHOCERCA SIMILIS,Rotifer,Small
98,ORTHOCYCLOPS MODESTUS,Cyclopoid,Small
99,PLOESOMA LENTICULARE,Rotifer,Small
100,TRICHOCERCA PUSILLA,Rotifer,Small
101,EUCYCLOPS ELEGANS,Cyclopoid,Small
102,POLYARTHRA EURYPTERA,Rotifer,Small
