site,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
parcelA,1955,5.4,6.7,5.3,4.5,6.4,8.6,10.1,9.7,12.8,10.3,7.0,7.9
parcelA,1956,8.5,7.0,7.9,8.6,9.7,10.0,9.3,6.3,5.3,5.4,8.2,6.2
parcelA,1957,5.9,6.8,6.9,7.8,9.1,9.1,9.4,5.3,6.0,6.5,7.3,6.4
parcelA,1958,5.8,6.1,10.0,6.9,6.9,6.5,4.5,5.0,2.6,6.2,5.9,5.5
parcelA,1959,3.9,,4.1,6.2,7.3,4.9,6.9,9.9,6.2,6.9,5.8,2.4
parcelA,1960,4.8,4.2,5.2,6.0,6.7,7.4,5.9,7.7,7.2,7.5,6.0,5.2
parcelA,1961,5.1,4.5,5.7,5.1,5.2,6.4,5.1,3.8,4.1,5.4,5.3,4.9
parcelA,1962,4.1,4.1,4.1,5.0,6.0,8.2,8.7,6.8,6.8,5.3,4.7,4.7
parcelA,1963,4.5,4.6,5.5,6.2,5.3,6.4,,4.0,4.8,5.3,4.7,5.6
parcelA,1964,4.2,5.3,5.4,5.8,7.2,9.4,8.1,,,,5.2,6.1
parcelA,1965,4.8,4.9,6.2,6.1,7.9,6.1,10.1,5.3,5.2,5.0,6.3,4.7
parcelA,1966,5.0,5.8,5.5,5.9,8.5,7.0,8.6,4.1,4.7,5.5,6.8,4.6
parcelA,1967,5.1,5.7,3.6,7.6,7.5,6.5,8.1,,,4.1,7.6,3.8
parcelA,1968,4.9,4.3,4.6,5.0,5.8,6.3,10.2,9.8,4.9,5.7,4.0,4.7
parcelA,1969,4.5,4.3,6.1,6.5,9.0,9.1,9.0,9.3,5.6,4.8,4.4,4.8
parcelA,1970,4.9,4.4,5.6,4.4,7.6,7.3,8.5,10.8,9.8,8.4,7.9,6.8
parcelA,1971,6.2,6.9,6.1,8.9,8.2,8.1,8.3,8.6,3.8,4.4,4.9,3.9
parcelA,1972,4.1,4.6,4.2,,7.5,7.1,,7.9,6.4,7.1,5.1,5.4
parcelA,1973,5.9,6.3,5.7,6.4,7.3,6.8,8.7,3.9,6.3,4.2,4.1,4.0
parcelA,1974,3.4,3.4,3.7,4.9,5.5,5.7,6.1,2.7,5.8,7.5,5.7,5.3
parcelA,1975,4.7,5.0,4.7,6.9,6.9,8.5,10.5,9.8,10.0,4.6,5.4,4.4
parcelA,1976,,4.4,4.8,6.2,7.4,7.5,,5.9,6.5,6.8,5.8,5.7
parcelA,1977,7.1,6.6,6.1,7.8,7.5,8.6,8.6,5.9,2.9,6.6,4.7,4.1
parcelA,1978,4.1,5.8,7.3,6.0,5.9,6.7,5.3,4.4,4.0,,4.1,5.0
parcelA,1979,4.7,4.9,,,,,,,,,3.3,3.3
parcelA,1980,2.5,3.6,3.5,4.4,5.2,7.0,,,,2.8,2.8,3.1
parcelA,1981,2.6,2.5,2.8,4.1,3.8,4.5,,,,3.5,,3.9
parcelA,1982,,3.0,,,,,,,,,,
parcelA,1983,,,,,,,,,2.4,2.5,2.7,
parcelA,1984,2.2,2.7,4.0,,4.0,6.2,4.9,4.6,7.9,3.0,2.5,3.7
parcelA,1985,4.1,2.8,3.1,4.4,4.9,6.0,5.1,4.3,3.0,,3.3,
parcelA,1986,3.8,,,5.4,3.5,,,,,3.0,4.2,3.6
parcelA,1987,4.0,5.1,4.7,4.9,5.9,7.5,5.5,5.5,4.7,6.4,4.6,5.7
parcelA,1988,5.4,6.6,5.9,6.0,7.4,7.5,5.3,3.4,6.1,5.5,5.8,5.9
parcelA,1989,3.6,4.8,6.6,6.2,6.4,6.7,2.5,3.6,3.2,3.3,3.0,3.2
parcelA,1990,3.1,3.0,3.0,4.0,3.9,5.4,2.2,3.7,3.6,3.6,2.6,1.8
parcelA,1991,2.6,,2.0,3.9,4.1,4.7,3.0,3.0,2.3,2.6,2.2,1.5
parcelA,1992,1.5,1.6,1.7,3.3,3.0,2.5,3.8,3.6,3.3,,3.4,3.5
parcelA,1993,3.3,3.9,4.9,5.5,6.0,5.9,6.1,4.6,3.9,4.1,4.4,3.2
parcelA,1994,3.4,3.5,4.2,,5.2,4.4,4.4,3.1,3.0,3.7,3.4,3.1
parcelA,1995,2.5,3.0,3.7,4.7,4.5,4.2,3.2,2.5,3.0,3.1,2.8,2.5
parcelA,1996,2.4,2.8,2.9,2.8,4.0,3.0,3.5,3.9,3.6,3.4,2.9,3.0
parcelA,1997,2.5,3.3,4.0,3.3,3.6,3.7,3.6,3.6,2.2,3.1,2.7,2.0
parcelA,1998,1.6,2.8,2.8,3.0,4.1,3.7,4.4,6.1,3.7,,3.7,3.1
parcelA,1999,3.0,,4.1,3.8,,5.6,4.2,5.0,4.1,3.6,5.1,5.5
parcelA,2000,3.1,4.4,4.5,7.0,6.5,5.1,6.8,6.7,4.6,4.1,4.9,3.0
parcelA,2001,4.3,3.5,4.9,5.5,5.2,6.1,6.6,5.2,4.3,4.0,4.6,5.5
parcelA,2002,6.2,5.5,4.1,5.3,7.1,6.8,5.8,7.0,5.7,,6.3,6.8
parcelA,2003,5.6,4.9,6.6,6.6,8.0,7.7,7.6,,6.8,5.7,9.1,6.2
parcelA,2004,5.5,7.4,6.0,5.8,7.0,5.8,6.4,5.0,5.3,,3.7,2.7
parcelA,2005,3.6,5.0,,4.6,5.2,,5.1,,4.5,,3.7,4.1
parcelA,2006,4.3,3.9,4.8,6.1,6.3,5.7,6.5,4.6,6.3,8.3,,4.7
parcelA,2007,,5.3,5.6,7.4,6.0,7.3,6.5,,5.3,,4.9,5.4
parcelA,2008,,,4.8,5.9,6.6,7.4,7.4,4.4,4.2,2.9,3.1,3.7
parcelA,2009,2.7,3.6,5.3,6.2,,,,4.7,,5.1,5.5,5.9
parcelA,2010,6.4,5.8,7.4,7.3,,8.3,7.9,8.6,6.6,7.0,,4.9
parcelA,2011,5.9,4.4,5.9,6.1,6.4,5.8,7.5,7.7,4.7,5.0,4.1,3.9
parcelA,2012,3.3,,3.7,4.0,5.0,5.1,3.9,4.6,,3.6,,2.8
parcelA,2013,4.2,4.6,6.0,,7.4,7.4,6.9,7.5,6.1,4.3,,5.9
parcelA,2014,5.9,,5.9,,6.8,7.2,6.3,6.4,,4.5,4.8,
parcelA,2015,4.4,,6.6,6.7,7.5,,8.4,8.1,,5.1,,
parcelA,2016,4.5,4.3,5.0,5.2,,6.7,,6.1,,,4.2,4.0
parcelA,2017,5.0,,7.1,8.2,,8.2,8.2,10.0,,,5.5,
parcelA,2018,5.1,6.8,6.7,,8.6,6.8,,,,4.8,4.5,
parcelA,2019,4.3,5.5,5.8,6.1,9.3,10.7,4.4,3.5,3.1,4.0,5.3,4.1
parcelA,2020,4.3,4.2,4.6,,5.6,6.4,,5.9,5.0,4.8,4.3,4.3
parcelA,2021,3.8,3.3,4.3,4.7,5.8,5.7,6.9,6.3,5.2,4.1,3.5,3.4
parcelA,2022,4.6,3.9,4.6,5.6,5.2,4.9,5.2,7.3,4.9,4.8,4.7,3.8
parcelA,2023,3.7,4.52,5.5,5.7,6.4,7.8,8.1,6.8,6.86,5.66,6.47,4.5
parcelA,2024,7.6,5.3,6.9,8.4,7.8,7.1,8.7,8.9,,,,
stackpole,1960,4.2,7.3,5.4,7.8,7.3,8.0,6.9,7.6,6.0,8.7,7.3,7.1
stackpole,1961,6.9,5.2,4.5,,10.5,8.3,7.8,4.0,6.0,5.7,7.5,7.3
stackpole,1962,6.0,5.7,6.6,6.5,8.6,8.9,11.5,10.7,14.1,9.4,11.9,9.6
stackpole,1963,9.3,9.1,8.5,8.6,8.6,10.7,,8.7,9.1,6.9,6.3,7.3
stackpole,1964,5.8,7.0,6.7,7.2,7.9,10.2,10.8,,,,8.8,8.8
stackpole,1965,7.5,7.5,7.5,8.1,9.2,9.1,11.1,12.8,9.5,7.4,5.8,7.4
stackpole,1966,6.2,6.9,7.4,6.8,6.7,11.1,10.4,5.9,7.5,9.2,9.0,7.5
stackpole,1967,8.5,7.4,7.4,8.5,9.3,7.3,10.3,,,6.4,7.4,6.6
stackpole,1968,5.5,5.8,6.7,6.2,8.5,10.8,11.0,11.0,12.2,9.8,8.5,9.1
stackpole,1969,9.7,6.4,9.5,9.7,10.2,11.1,,11.6,8.9,9.4,8.1,8.6
stackpole,1970,8.2,7.9,8.9,9.1,8.3,10.3,10.7,12.3,8.5,8.9,8.9,8.7
stackpole,1971,6.9,8.4,9.1,9.0,9.9,9.6,9.4,12.1,10.7,8.3,8.9,5.6
stackpole,1972,7.1,8.6,8.1,8.7,7.8,8.2,,10.7,9.9,8.8,9.9,9.2
stackpole,1973,7.6,8.8,6.5,8.1,11.4,11.6,12.3,7.9,9.0,7.3,8.0,7.7
stackpole,1974,5.3,6.7,6.4,8.6,9.1,10.0,11.9,5.2,10.8,8.6,9.3,8.5
stackpole,1975,7.1,7.8,8.0,9.5,7.5,8.6,13.4,14.8,14.0,12.5,11.0,9.1
stackpole,1976,9.6,8.0,9.2,11.4,8.4,9.1,,12.6,9.2,9.5,9.4,8.9
stackpole,1977,8.2,9.4,11.0,9.1,10.3,9.2,11.8,12.5,10.3,11.4,8.6,8.2
stackpole,1978,8.0,4.5,8.7,10.6,9.1,10.6,7.3,10.3,9.9,,10.3,6.6
stackpole,1979,10.0,8.9,,,,,,,,,5.7,7.4
